"species","latitude","longitude","source"
"Rhinolophus affinis",22.183333,106.033333,"Furey, N. M., Mackie, I. J., & Racey, P. A. (2011). Furey, N. M., Mackie, I. J., & Racey, P. A. (2011). Reproductive Phenology of Bat Assemblages in Vietnamese Karst and Its Conservation Implications. Acta Chiropterologica, 13(2), 341Ð354."
"Rhinolophus affinis",-7.67018,109.42653,"Wijayanti, F., Solihin, D. D., Alikodra, H. S., & Maryanto, I. (2012). The diet of insectivorous cave-dwelling bats from Kombong Karst Area, Central Java, Indonesia.ÊJournal of Tropical Biology & Conservation. 9(1): 49-58."
"Rhinolophus affinis",1.41525,110.13515,"Abd Rahman, M. R., Tingga, R. C. T., Azhar, M. I., Hasan, N. H., & Abdullah, M. T. (2011). Bats of the wind cave nature reserve, Sarawak, Malaysian Borneo.ÊTropical Natural History,Ê11(2), 159-175."
"Rhinolophus affinis",22.60778,105.87056,"Tu, V. T., Est—k, P., Csorba, G., Son, N. T., Thanh, H. T., & Gšrfšl, T. (2016). Recent remarkable records reveal that Phia Oac-Phia Den Nature Reserve is a priority area for bat conservation in Northern Vietnam. Journal of Asia-Pacific Biodiversity,"
"Rhinolophus affinis",22.56361,105.88111,"Tu, V. T., Est—k, P., Csorba, G., Son, N. T., Thanh, H. T., & Gšrfšl, T. (2016). Recent remarkable records reveal that Phia Oac-Phia Den Nature Reserve is a priority area for bat conservation in Northern Vietnam. Journal of Asia-Pacific Biodiversity,"
"Rhinolophus affinis",23.56622,102.77453,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus affinis",28.14167,83.09833,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus affinis",28.25861,83.95167,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus affinis",28.18944,83.95889,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus affinis",28.2675,83.97667,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus affinis",28.27194,83.98083,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus affinis",28.26333,83.99222,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus affinis",28.21028,83.9925,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus affinis",28.24722,84.00389,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
