"species","latitude","longitude","source"
"Rhinolophus pusillus",22.60778,105.87056,"Tu, V. T., Est—k, P., Csorba, G., Son, N. T., Thanh, H. T., & Gšrfšl, T. (2016). Recent remarkable records reveal that Phia Oac-Phia Den Nature Reserve is a priority area for bat conservation in Northern Vietnam. Journal of Asia-Pacific Biodiversity,"
"Rhinolophus pusillus",22.56361,105.88111,"Tu, V. T., Est—k, P., Csorba, G., Son, N. T., Thanh, H. T., & Gšrfšl, T. (2016). Recent remarkable records reveal that Phia Oac-Phia Den Nature Reserve is a priority area for bat conservation in Northern Vietnam. Journal of Asia-Pacific Biodiversity,"
"Rhinolophus pusillus",22.5925,105.88111,"Tu, V. T., Est—k, P., Csorba, G., Son, N. T., Thanh, H. T., & Gšrfšl, T. (2016). Recent remarkable records reveal that Phia Oac-Phia Den Nature Reserve is a priority area for bat conservation in Northern Vietnam. Journal of Asia-Pacific Biodiversity,"
"Rhinolophus pusillus",24.61744,102.16331,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",24.61736,102.16347,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",23.67447,104.41003,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",20.83779,106.9838,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",20.75368,107.0126,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",21.13282,96.34028,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",21.19537,96.51375,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",21.19173,96.55497,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",20.58982,96.56307,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",20.91577,96.72517,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",28.14167,83.09833,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus pusillus",28.25861,83.95167,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus pusillus",28.18944,83.95889,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus pusillus",28.2675,83.97667,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus pusillus",28.27194,83.98083,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus pusillus",28.26333,83.99222,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus pusillus",28.21028,83.9925,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus pusillus",28.24722,84.00389,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus pusillus",28.25667,84.00528,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus pusillus",28.17917,84.01444,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus pusillus",28.18222,84.01444,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus pusillus",28.17888889,83.9925,"Adhikari, H. (2008). Bat species richness and their distribution in Pokhara valley of Nepal.ÊThe Initiation,Ê2(1), 43-48."
"Rhinolophus pusillus",22.12743,113.57207,"Wong, K. C., Tan, L. J., Yang, J., Chen, Y., Liu, Q., Shen, Q. Q., ... & Zhang, L. B. (2013). A recent survey of bat diversity (Mammalia: Chiroptera) in Macau. Acta Theriologica Sinica, 33(2), 123-132."
"Rhinolophus pusillus",22.13339,113.57636,"Wong, K. C., Tan, L. J., Yang, J., Chen, Y., Liu, Q., Shen, Q. Q., ... & Zhang, L. B. (2013). A recent survey of bat diversity (Mammalia: Chiroptera) in Macau. Acta Theriologica Sinica, 33(2), 123-132."
"Rhinolophus pusillus",34.51019,110.41958,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",33.84275,110.88714,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",33.66073,111.24763,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",33.60897,111.31723,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",34.60478,111.31902,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",33.55603,111.34281,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",33.60719,111.47071,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",33.54473,111.49212,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",33.82312,111.49391,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",33.10572,111.52425,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",33.46621,111.69557,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",33.73033,111.71698,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",33.32701,111.8544,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",33.26633,111.89009,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",33.65359,111.89723,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",35.16871,112.0971,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",34.04798,112.1203,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
