"presence","x","y","cells","bio1","bio12","bio15","ntl","pop_dens","dist_karst","perc_water_bodies","perc_evgrn_ndlf_forests","perc_evgrn_brdlf_forests","perc_decid_brdlf_forests","perc_mxd_forests"
0,101.225,4.825,69400,24.1993274688721,2855.2333984375,31.2760047912598,0.422873914241791,50.8287773132324,0.427200198173523,0,0,100,0,0
0,101.375,4.825,69403,21.2087745666504,3144.85717773438,29.1337223052979,0.322157651185989,47.2674446105957,0.570087730884552,0,0,100,0,0
0,101.825,4.825,69412,25.6758213043213,2482.33666992188,35.0947570800781,0.307598799467087,16.5847225189209,0.150000005960464,0,0,16,0,0
0,102.275,4.825,69421,25.8440647125244,2614.1953125,37.5391502380371,0.300996989011765,9.06564998626709,0,0,0,5,0,0
0,103.325,4.825,69442,26.3323879241943,3169.7958984375,75.4363250732422,0.553100228309631,109.38427734375,1,0,0,47,0,0
0,100.625,4.775,69575,26.8959884643555,3015.13330078125,28.8861427307129,0.412314474582672,92.5272521972656,0.180277571082115,17,0,0,0,0
0,100.875,4.775,69580,26.5196952819824,2802.16674804688,30.4793682098389,4.6805739402771,101.28205871582,0.20615528523922,0,0,35,0,0
0,101.025,4.775,69583,25.3487873077393,2837.36450195312,31.0048141479492,0.774618148803711,171.122695922852,0.282842725515366,0,0,100,0,0
0,101.275,4.775,69588,22.0200634002686,3207.97338867188,28.6224212646484,0.344817042350769,75.4106826782227,0.49244287610054,0,0,100,0,0
0,101.475,4.775,69592,22.0701675415039,2999.75561523438,30.0006408691406,0.304389655590057,5.80567407608032,0.502493798732758,0,0,92,0,0
0,101.825,4.775,69599,25.5310306549072,2499.02856445312,34.5058288574219,0.289385199546814,21.4807891845703,0.15811388194561,0,0,25,0,0
0,102.025,4.775,69603,25.3637313842773,2512.69775390625,36.4511680603027,0.508468568325043,30.9269123077393,0,0,0,63,0,0
0,102.825,4.775,69619,23.4269981384277,2987.17626953125,49.4332237243652,0.261979401111603,0.0595619902014732,0.5,0,0,100,0,0
0,101.175,4.725,69773,25.891773223877,2620.5,31.6859836578369,1.87940013408661,982.503845214844,0.430116266012192,0,0,66,0,0
0,101.475,4.725,69779,22.3188323974609,2979.53784179688,29.5073986053467,0.311937361955643,5.80567407608032,0.509901940822601,0,0,96,0,0
0,102.575,4.725,69801,24.5878143310547,2811.45703125,40.579833984375,0.2673060297966,6.39724111557007,0.25,0,0,100,0,0
0,102.825,4.725,69806,22.2943840026855,2941.82373046875,47.7884559631348,0.259429693222046,0.323024064302444,0.5,0,0,100,0,0
0,103.325,4.725,69816,26.3769779205322,3082.52392578125,74.7475509643555,1.51846873760223,110.729927062988,1,0,0,49,0,0
0,100.625,4.675,69949,26.8288631439209,2886.46435546875,28.5736503601074,0.290519028902054,38.5154914855957,0.269258230924606,44,0,0,0,0
0,100.775,4.675,69952,23.801685333252,3407.12377929688,26.8554763793945,0.384925574064255,74.5339965820312,0.254950970411301,0,0,100,0,0
0,100.975,4.675,69956,26.3377151489258,2640.55712890625,30.7159576416016,1.06265580654144,93.7423400878906,0.335410207509995,0,0,66,0,0
0,101.025,4.675,69957,25.4355316162109,2844.1572265625,29.4904079437256,2.37149405479431,528.784729003906,0.36055514216423,0,0,100,0,0
0,101.575,4.675,69968,24.36403465271,2721.091796875,30.2785797119141,0.30279529094696,5.80567407608032,0.447213590145111,0,0,57,0,0
0,101.675,4.675,69970,25.1263198852539,2615.40307617188,31.2577781677246,0.289441913366318,5.80567407608032,0.349999994039536,0,0,69,0,0
0,101.975,4.675,69976,25.2152557373047,2518.08569335938,34.6796493530273,0.449781984090805,12.7740726470947,0.0500000007450581,0,0,78,0,0
0,102.125,4.675,69979,24.515417098999,2590,34.9001617431641,0.285239905118942,9.36963558197021,0,0,0,100,0,0
0,102.175,4.675,69980,23.4825782775879,2681.474609375,34.8679809570312,0.290245145559311,9.22112846374512,0,0,0,100,0,0
0,102.475,4.675,69986,23.4169731140137,2783.71899414062,37.6606330871582,0.266175121068954,3.03853106498718,0.150000005960464,0,0,100,0,0
0,102.525,4.675,69987,24.2500877380371,2765.32373046875,38.1946334838867,0.266213864088058,4.15908432006836,0.200000002980232,0,0,100,0,0
0,102.775,4.675,69992,24.1083507537842,2924.31420898438,45.6802711486816,0.250280559062958,0.299235850572586,0.447213590145111,0,0,100,0,0
0,103.425,4.675,70005,26.231725692749,2990.38256835938,75.6280136108398,4.469313621521,443.828796386719,1.06066012382507,5,0,53,0,0
0,100.675,4.625,70137,26.9141654968262,2869.5,28.2657623291016,0.737195134162903,41.9317245483398,0.304138123989105,0,0,12,0,0
0,100.925,4.625,70142,26.8049945831299,2612.35717773438,29.7820720672607,0.929710805416107,27.5312767028809,0.36055514216423,2,0,28,0,0
0,101.425,4.625,70152,19.6948738098145,3014.64282226562,30.3904724121094,1.03995561599731,12.065580368042,0.570087730884552,0,0,59,0,0
0,101.525,4.625,70154,20.1498889923096,2946.43334960938,30.9159774780273,0.484594225883484,12.1467370986938,0.474341660737991,0,0,100,0,0
0,102.675,4.625,70177,24.0226726531982,2844.14282226562,41.2269630432129,0.269414663314819,0.573455989360809,0.335410207509995,0,0,100,0,0
0,102.775,4.625,70179,24.4169387817383,2899.36669921875,44.5391502380371,0.265998870134354,0.573455989360809,0.427200198173523,0,0,100,0,0
0,103.025,4.625,70184,25.8414611816406,3080.16674804688,56.2223701477051,0.301958590745926,3.23347973823547,0.670820415019989,0,0,81,0,0
0,100.775,4.575,70326,24.8113784790039,3069.24755859375,27.2535438537598,0.428759008646011,35.2801361083984,0.353553384542465,0,0,100,0,0
0,100.925,4.575,70329,26.9371395111084,2572.56127929688,29.3005046844482,1.16633141040802,36.7497482299805,0.403112888336182,2,0,14,0,0
0,101.225,4.575,70335,24.0379276275635,2975.1953125,28.386344909668,0.853237867355347,237.75895690918,0.565685451030731,0,0,100,0,0
0,101.525,4.575,70341,19.5208206176758,2946.95703125,31.5074462890625,0.337283432483673,28.1316318511963,0.460977226495743,0,0,100,0,0
1,101.975,4.575,70350,25.3944301605225,2491.43334960938,33.1442604064941,0.33095508813858,9.38796424865723,0.0500000007450581,0,0,84,0,0
0,102.225,4.575,70355,20.2924690246582,2784.36181640625,36.3859634399414,0.269912451505661,6.47400903701782,0,0,0,100,0,0
0,102.875,4.575,70368,21.8225250244141,2938.85717773438,46.0920295715332,0.267124265432358,2.44116640090942,0.514781534671783,0,0,100,0,0
0,103.025,4.575,70371,25.9089031219482,3043.30004882812,55.3356819152832,0.325504511594772,3.22052216529846,0.649999976158142,0,0,100,0,0
0,103.225,4.575,70375,26.2509288787842,3073.45239257812,66.4323806762695,0.614543437957764,23.6237487792969,0.848528146743774,0,0,44,0,0
0,103.325,4.575,70377,26.2954406738281,3043.75,71.1867752075195,2.01294255256653,93.8673095703125,0.919238805770874,0,0,49,0,0
0,100.675,4.525,70511,26.9764671325684,2592.19995117188,28.8401432037354,1.30369937419891,85.1477966308594,0.403112888336182,0,0,25,0,0
0,100.725,4.525,70512,26.7585697174072,2645.40893554688,28.7952575683594,0.830359280109406,71.2822723388672,0.400000005960464,0,0,37,0,0
0,101.025,4.525,70518,27.0303249359131,2583.9599609375,28.2270946502686,8.39715480804443,531.341613769531,0.49244287610054,0,0,6,0,0
0,101.125,4.525,70520,27.285737991333,2598.56665039062,28.3514957427979,13.6728181838989,373.658050537109,0.540832698345184,0,0,2,0,0
0,101.525,4.525,70528,21.2650299072266,2959.306640625,29.6124019622803,0.40574237704277,34.5058212280273,0.452769249677658,0,0,95,0,0
0,101.675,4.525,70531,23.3459300994873,2833.35717773438,29.3933715820312,0.304695546627045,9.6672306060791,0.304138123989105,0,0,100,0,0
0,102.275,4.525,70543,22.5526027679443,2744.24438476562,33.7107887268066,0.262517869472504,5.19551086425781,0,0,0,100,0,0
0,102.975,4.525,70557,25.6288681030273,2985.40893554688,50.9778518676758,0.306714087724686,3.36396598815918,0.585234999656677,0,0,98,0,0
0,103.375,4.525,70565,26.169994354248,3012.30004882812,71.6645202636719,0.969178438186646,104.377967834473,0.921954452991486,0,0,48,0,0
0,100.625,4.475,70697,26.9341716766357,2424.86669921875,29.367073059082,2.63995718955994,122.046867370605,0.460977226495743,34,0,5,0,0
0,101.025,4.475,70705,27.3579750061035,2602.919921875,27.1452484130859,9.27754020690918,494.261352539062,0.538516461849213,0,0,1.81898940354586e-12,0,0
0,101.225,4.475,70709,25.0981712341309,2870.0087890625,27.8266201019287,0.914215981960297,129.425933837891,0.640312433242798,0,0,99,0,0
0,101.675,4.475,70718,24.7950077056885,2726.28564453125,28.7993488311768,0.287105411291122,9.84449577331543,0.300000011920929,0,0,100,0,0
0,101.775,4.475,70720,25.3333549499512,2618.03564453125,29.2940063476562,0.282762259244919,9.84449577331543,0.200000002980232,0,0,100,0,0
0,101.825,4.475,70721,25.8635330200195,2539.65234375,29.7845039367676,0.290273815393448,9.76395893096924,0.150000005960464,0,0,100,0,0
0,102.625,4.475,70737,25.6504898071289,2635.43334960938,35.2310447692871,0.332842022180557,0.573455989360809,0.25,0,0,81,0,0
0,102.675,4.475,70738,25.60373878479,2683.16186523438,36.9992179870605,0.327155590057373,0.573455989360809,0.29154759645462,0,0,89,0,0
0,102.925,4.475,70743,25.1126251220703,2931.39038085938,47.2526321411133,0.267792999744415,2.53272533416748,0.522015333175659,0,0,100,0,0
0,103.125,4.475,70747,25.0427665710449,3052.39990234375,56.869312286377,0.279971987009048,14.1656045913696,0.70710676908493,0,0,100,0,0
0,103.275,4.475,70750,25.6859912872314,3023.9912109375,65.5537719726562,0.362330287694931,39.4979133605957,0.81394100189209,0,0,79,0,0
0,100.675,4.425,70885,26.981840133667,2345.05615234375,29.7071495056152,1.45165646076202,123.880256652832,0.502493798732758,0,0,35,0,0
0,100.725,4.425,70886,27.003210067749,2362.60473632812,29.7179985046387,0.68299275636673,95.3072891235352,0.5,0,0,79,0,0
0,100.825,4.425,70888,27.0247058868408,2439.18359375,28.7459373474121,0.753372669219971,68.1247177124023,0.509901940822601,0,0,40,0,0
0,101.025,4.425,70892,27.3240909576416,2617.02856445312,26.9719638824463,3.29106760025024,365.305419921875,0.583095192909241,0,0,16,0,0
0,101.075,4.425,70893,27.4483776092529,2654.44897460938,26.9641304016113,2.28747916221619,232.068283081055,0.604152321815491,7,0,16,0,0
0,101.225,4.425,70896,25.3397026062012,2890.423828125,27.0552730560303,1.1054801940918,192.50016784668,0.670820415019989,0,0,100,0,0
0,101.425,4.425,70900,19.9620704650879,2968.88256835938,30.0227298736572,1.58996999263763,72.3079833984375,0.5,0,0,51,0,0
0,101.525,4.425,70902,21.4519538879395,2928.27612304688,29.2660217285156,0.390210121870041,34.7599830627441,0.424264073371887,0,0,87,0,0
0,101.875,4.425,70909,25.9076137542725,2534.10717773438,28.9826583862305,0.28047314286232,9.48983287811279,0.100000001490116,0,0,94,0,0
0,102.025,4.425,70912,24.8123474121094,2569.70483398438,29.5252952575684,0.27832493185997,8.27562522888184,0.0500000007450581,0,0,97,0,0
0,102.175,4.425,70915,25.1942806243896,2470.775390625,29.9437847137451,0.283147990703583,7.47380352020264,0.0707106813788414,0,0,100,0,0
0,102.275,4.425,70917,25.2756156921387,2453.30004882812,29.9728546142578,0.289628863334656,5.05309200286865,0,0,0,100,0,0
0,102.625,4.425,70924,25.4327621459961,2621.25,34.2445373535156,0.300171971321106,0.573455989360809,0.223606795072556,0,0,100,0,0
0,102.725,4.425,70926,25.1729145050049,2730.9619140625,37.9847831726074,0.271508514881134,0.573455989360809,0.31622776389122,0,0,100,0,0
0,102.925,4.425,70930,24.7905426025391,2916.2958984375,45.8857612609863,0.27891331911087,0.631121098995209,0.509901940822601,0,0,100,0,0
0,103.075,4.425,70933,24.517068862915,3011.2958984375,52.6110229492188,0.27740478515625,8.50924301147461,0.636396110057831,0,0,98,0,0
0,103.125,4.425,70934,24.5562686920166,3030.78564453125,54.8911285400391,0.284496635198593,12.927038192749,0.672681212425232,0,0,100,0,0
0,103.275,4.425,70937,26.1764545440674,3003.66186523438,65.9559173583984,0.436321079730988,19.276309967041,0.781024992465973,0,0,95,0,0
0,100.925,4.375,71077,27.1219940185547,2485.78564453125,27.7718505859375,3.74832320213318,201.480224609375,0.585234999656677,0,0,14,0,0
0,102.075,4.375,71100,25.8652973175049,2428.39282226562,28.962423324585,0.33905702829361,7.47380352020264,0.100000001490116,0,0,72,0,0
0,102.675,4.375,71112,25.0006198883057,2666,35.4492340087891,0.27091109752655,0.573455989360809,0.254950970411301,0,0,100,0,0
0,102.925,4.375,71117,24.6509876251221,2921.85717773438,44.6996879577637,0.266478568315506,0.573455989360809,0.5,0,0,100,0,0
0,103.025,4.375,71119,24.9421501159668,2989.66674804688,49.5478477478027,0.274702131748199,8.64993476867676,0.565685451030731,0,0,100,0,0
0,100.725,4.325,71260,27.0600337982178,2161.67138671875,31.0161685943604,2.09421801567078,392.386413574219,0.600000023841858,0,0,34,0,0
1,101.925,4.325,71284,26.0543651580811,2506.4794921875,27.6168975830078,0.353267639875412,10.2480115890503,0.111803397536278,0,0,73,0,0
