"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
2249819083,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMA9808-15","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0990","BOLD:ACF0990","","TH","","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",7.0129,100.021,NA,NA,NA,NA,NA,NA,2011-08-24,24,8,2011,10037390,2432641,"MATERIAL_SAMPLE","","","IS110823.18","","",NA,"CC_BY_4_0","","Saveng Ith and Pipat Soisook",NA,"",2023-09-27 15:54:43,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2249819042,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMA9815-15","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:AAA3811","BOLD:AAA3811","","VN","","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",21.5075,105.608,NA,NA,NA,NA,NA,NA,2009-11-25,25,11,2009,10401857,2432641,"MATERIAL_SAMPLE","","","T.241109.11","","",NA,"CC_BY_4_0","","Vu Dinh Thong",NA,"",2023-09-27 15:53:05.341,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2249818850,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMA9817-15","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:AAA3811","BOLD:AAA3811","","VN","","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",21.5075,105.608,NA,NA,NA,NA,NA,NA,2009-11-25,25,11,2009,10401857,2432641,"MATERIAL_SAMPLE","","","T.241109.18","","",NA,"CC_BY_4_0","","Vu Dinh Thong",NA,"",2023-09-27 15:53:05.333,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2249818707,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMA9806-15","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0990","BOLD:ACF0990","","TH","Hala Bala","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",5.7983,101.825,NA,NA,NA,NA,NA,NA,2012-01-23,23,1,2012,10037390,2432641,"MATERIAL_SAMPLE","","","IS120122.13","","",NA,"CC_BY_4_0","","Saveng Ith and Pipat Soisook",NA,"",2023-09-27 15:53:05.314,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2249818175,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMA9813-15","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0990","BOLD:ACF0990","","MM","","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",12.4739,98.4032,NA,NA,NA,NA,NA,NA,2003-11-15,15,11,2003,10037390,2432641,"MATERIAL_SAMPLE","","","HZM73.35980","","",NA,"CC_BY_4_0","","Paul J. J. Bates",NA,"",2023-09-27 15:53:05.285,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2249818003,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMA9826-15","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0989","BOLD:ACF0989","","ID","Sumatra","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",4.5597,105.407,NA,NA,NA,NA,NA,NA,2011-03-26,26,3,2011,10281401,2432641,"MATERIAL_SAMPLE","","","MZB35882","","",NA,"CC_BY_4_0","","Joe Chun-Chia Huang",NA,"",2023-09-27 15:53:05.338,"","GEODETIC_DATUM_ASSUMED_WGS84"
2249817800,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMA9823-15","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0990","BOLD:ACF0990","","TH","Adang","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",6.5146,99.3173,NA,NA,NA,NA,NA,NA,2012-02-17,17,2,2012,10037390,2432641,"MATERIAL_SAMPLE","","","IS120216.8","","",NA,"CC_BY_4_0","","Saveng Ith",NA,"",2023-09-27 15:53:05.306,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2249817780,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMA9807-15","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0990","BOLD:ACF0990","","TH","Hala Bala","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",5.7983,101.825,NA,NA,NA,NA,NA,NA,2012-01-23,23,1,2012,10037390,2432641,"MATERIAL_SAMPLE","","","IS120122.12","","",NA,"CC_BY_4_0","","Saveng Ith and Pipat Soisook",NA,"",2023-09-27 15:53:05.334,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2249817552,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMA9816-15","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:AAA3811","BOLD:AAA3811","","VN","","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",21.5075,105.608,NA,NA,NA,NA,NA,NA,2009-11-25,25,11,2009,10401857,2432641,"MATERIAL_SAMPLE","","","T.241109.13","","",NA,"CC_BY_4_0","","Vu Dinh Thong",NA,"",2023-09-27 15:54:42.36,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2249817445,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMA9804-15","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0990","BOLD:ACF0990","","TH","Hala Bala","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",5.7983,101.825,NA,NA,NA,NA,NA,NA,2012-01-25,25,1,2012,10037390,2432641,"MATERIAL_SAMPLE","","","IS12.042","","",NA,"CC_BY_4_0","","Saveng Ith and Pipat Soisook",NA,"",2023-09-27 15:54:41.784,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2249817276,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMA9824-15","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0989","BOLD:ACF0989","","ID","Sumatra","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",4.5597,105.407,NA,NA,NA,NA,NA,NA,2012-05-12,12,5,2012,10281401,2432641,"MATERIAL_SAMPLE","","","MZB35883","","",NA,"CC_BY_4_0","","Joe Chun-Chia Huang",NA,"",2023-09-27 15:53:05.323,"","GEODETIC_DATUM_ASSUMED_WGS84"
2249817180,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMA9825-15","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0989","BOLD:ACF0989","","ID","Sumatra","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",4.5597,105.407,NA,NA,NA,NA,NA,NA,2010-08-08,8,8,2010,10281401,2432641,"MATERIAL_SAMPLE","","","MZB34965","","",NA,"CC_BY_4_0","","Joe Chun-Chia Huang",NA,"",2023-09-27 15:53:05.337,"","GEODETIC_DATUM_ASSUMED_WGS84"
